id,action_time,user,content_type,object_id,object_repr,action_flag,change_message
391,2021-03-13 08:00:31.736818+00:00,alok,school | staff master,387,teacher2,2,"[{""changed"": {""fields"": [""Staff card number""]}}]"
390,2021-03-13 08:00:09.615204+00:00,alok,school | staff master,386,teacher1,2,"[{""changed"": {""fields"": [""Staff card number""]}}]"
389,2021-03-13 07:38:17.162093+00:00,alok,school | staff master,387,teacher2,2,"[{""changed"": {""fields"": [""Staff card number""]}}]"
388,2021-03-13 07:37:45.835902+00:00,alok,school | staff master,386,teacher1,2,"[{""changed"": {""fields"": [""Staff card number""]}}]"
387,2021-03-13 06:24:15.758984+00:00,alok,school | attendance,341,sbsy27 Rajender singh 2021-03-13,3,
386,2021-03-13 06:24:15.711915+00:00,alok,school | attendance,342,sbsy27 Dinesh kumar 2021-03-13,3,
385,2021-03-13 06:24:15.688576+00:00,alok,school | attendance,343,sbsy27 Poonam chauhan 2021-03-13,3,
384,2021-03-13 06:24:15.687468+00:00,alok,school | attendance,344,sbsy27 Vivek shukla 2021-03-13,3,
383,2021-03-13 06:24:15.686062+00:00,alok,school | attendance,345,sbsy32 Poonam chauhan 2021-03-13,3,
382,2021-03-13 06:24:15.520107+00:00,alok,school | attendance,346,sbsy32 Dinesh kumar 2021-03-13,3,
381,2021-03-13 06:24:15.475156+00:00,alok,school | attendance,347,sbsy32 Rajender singh 2021-03-13,3,
380,2021-03-13 06:24:15.432452+00:00,alok,school | attendance,348,sbsy32 Vivek shukla 2021-03-13,3,
379,2021-03-13 06:20:38.572424+00:00,alok,school | staff master,374,Dinesh kumar,2,"[{""changed"": {""fields"": [""Staff card number""]}}]"
378,2021-03-13 06:19:36.326247+00:00,alok,school | staff master,374,Dinesh kumar,2,"[{""changed"": {""fields"": [""Staff card number""]}}]"
377,2021-03-13 06:07:03.045935+00:00,alok,school | staff master,373,Vivek shukla,2,"[{""changed"": {""fields"": [""Staff card number""]}}]"
376,2021-03-13 06:06:32.279460+00:00,alok,school | staff master,376,Poonam chauhan,2,"[{""changed"": {""fields"": [""Staff card number""]}}]"
375,2021-03-13 06:05:50.794151+00:00,alok,school | staff master,374,Dinesh kumar,2,"[{""changed"": {""fields"": [""Staff card number""]}}]"
374,2021-03-13 06:05:11.667195+00:00,alok,school | staff master,375,Rajender singh,2,"[{""changed"": {""fields"": [""Staff card number""]}}]"
373,2021-03-12 07:09:13.264133+00:00,alok,school | staff master,370,teacher3,2,"[{""changed"": {""fields"": [""Staff card number""]}}]"
372,2021-03-12 07:08:38.025866+00:00,alok,school | staff master,369,teacher2,2,"[{""changed"": {""fields"": [""Staff card number""]}}]"
371,2021-03-12 07:08:11.064054+00:00,alok,school | staff master,368,teacher1,2,"[{""changed"": {""fields"": [""Staff card number""]}}]"
370,2021-03-11 09:36:43.869898+00:00,alok,school | student master,346,yash ,2,"[{""changed"": {""fields"": [""Image""]}}]"
369,2021-03-10 08:00:57.185098+00:00,alok,school | owner master,325,AMAN KASANA,2,"[{""changed"": {""fields"": [""Owner email""]}}]"
368,2021-03-10 08:00:34.212881+00:00,alok,school | school master,28,STANFORD CONVENT SCHOOL,2,"[{""changed"": {""fields"": [""Email""]}}]"
367,2021-03-10 08:00:00.911655+00:00,alok,auth | user,325,stanford.convent07@gmail.com,2,"[{""changed"": {""fields"": [""Username"", ""Email address""]}}]"
366,2021-03-10 07:48:26.611934+00:00,alok,school | staff master,340,teacher14,2,"[{""changed"": {""fields"": [""Staff card number""]}}]"
365,2021-03-10 07:47:52.122734+00:00,alok,school | staff master,339,teacher13,2,"[{""changed"": {""fields"": [""Staff card number""]}}]"
364,2021-03-10 07:47:15.231456+00:00,alok,school | staff master,338,teacher12,2,"[{""changed"": {""fields"": [""Staff card number""]}}]"
363,2021-03-10 07:46:39.790040+00:00,alok,school | staff master,337,teacher11,2,"[{""changed"": {""fields"": [""Staff card number""]}}]"
362,2021-03-10 07:46:07.755120+00:00,alok,school | staff master,336,teacher10,2,"[{""changed"": {""fields"": [""Staff card number""]}}]"
361,2021-03-10 07:23:26.802869+00:00,alok,school | staff master,334,teacher9,2,"[{""changed"": {""fields"": [""Staff card number""]}}]"
360,2021-03-10 07:22:09.243837+00:00,alok,school | staff master,333,teacher8,2,[]
359,2021-03-10 07:19:06.441434+00:00,alok,school | staff master,335,teacher0,2,[]
358,2021-03-10 07:18:20.074878+00:00,alok,school | staff master,327,teacher2,2,"[{""changed"": {""fields"": [""Staff card number""]}}]"
357,2021-03-10 07:15:53.592445+00:00,alok,school | staff master,334,teacher9,2,"[{""changed"": {""fields"": [""Staff card number""]}}]"
356,2021-03-10 07:15:18.119332+00:00,alok,school | staff master,333,teacher8,2,"[{""changed"": {""fields"": [""Staff card number""]}}]"
355,2021-03-10 07:14:18.963121+00:00,alok,school | staff master,332,teacher7,2,"[{""changed"": {""fields"": [""Staff card number""]}}]"
354,2021-03-10 07:12:42.085829+00:00,alok,school | staff master,331,teacher6,2,"[{""changed"": {""fields"": [""Staff card number""]}}]"
353,2021-03-10 07:11:42.582564+00:00,alok,school | staff master,330,teacher5,2,"[{""changed"": {""fields"": [""Staff card number""]}}]"
352,2021-03-10 07:10:45.583028+00:00,alok,school | staff master,329,teacher4,2,"[{""changed"": {""fields"": [""Staff card number""]}}]"
351,2021-03-10 07:09:58.783757+00:00,alok,school | staff master,328,teacher3,2,"[{""changed"": {""fields"": [""Staff card number""]}}]"
350,2021-03-10 07:07:20.229678+00:00,alok,school | staff master,326,teacher1,2,"[{""changed"": {""fields"": [""Staff card number""]}}]"
349,2021-03-10 07:06:39.810944+00:00,alok,school | staff master,335,teacher0,2,"[{""changed"": {""fields"": [""Staff card number""]}}]"
348,2021-03-10 07:05:21.547978+00:00,alok,school | staff master,335,teacher0,2,"[{""changed"": {""fields"": [""Staff card number""]}}]"
347,2021-03-10 06:25:10.442152+00:00,alok,school | owner master,325,AMAN KASANA,2,"[{""changed"": {""fields"": [""Owner email""]}}]"
346,2021-03-10 06:24:31.294137+00:00,alok,auth | user,325,stanford.covent07@gmail.com,2,"[{""changed"": {""fields"": [""Username""]}}]"
345,2021-03-10 06:22:50.148106+00:00,alok,auth | user,325,standford.covent07@gmail.com,2,"[{""changed"": {""fields"": [""Email address""]}}]"
344,2021-03-10 06:21:30.541683+00:00,alok,school | school master,28,STANFORD CONVENT SCHOOL,2,"[{""changed"": {""fields"": [""Email""]}}]"
343,2021-03-09 17:03:54.287135+00:00,alok,school | school master,14,Vijay demo public school,2,"[{""changed"": {""fields"": [""Principal sign image"", ""Logo of school""]}}]"
342,2021-03-09 16:57:33.723296+00:00,alok,auth | user,135,vijaydemo@gmail.com,2,"[{""changed"": {""fields"": [""First name""]}}]"
341,2021-03-09 12:34:55.457723+00:00,alok,school | school_machine_update,7,school_machine_update object (7),2,[]
340,2021-03-09 12:32:53.695800+00:00,alok,school | school_machine_update,7,school_machine_update object (7),2,"[{""changed"": {""fields"": [""Gwid"", ""Ssid"", ""Password""]}}]"
339,2021-03-09 12:20:19.721216+00:00,alok,school | school_machine_update,7,school_machine_update object (7),2,"[{""changed"": {""fields"": [""Gwid""]}}]"
338,2021-03-09 12:19:41.979797+00:00,alok,school | school_machine_update,7,school_machine_update object (7),2,"[{""changed"": {""fields"": [""Gwid""]}}]"
337,2021-03-09 12:18:55.183968+00:00,alok,school | school_machine_update,7,school_machine_update object (7),2,"[{""changed"": {""fields"": [""Gwid""]}}]"
336,2021-03-08 14:04:06.549083+00:00,alok,school | student master,302,bunty ,2,"[{""changed"": {""fields"": [""Student card number""]}}]"
335,2021-03-08 14:03:31.070118+00:00,alok,school | student master,306,kiran ,2,"[{""changed"": {""fields"": [""Student card number""]}}]"
334,2021-03-08 14:02:49.944274+00:00,alok,school | student master,304,manish kumar ,2,"[{""changed"": {""fields"": [""Student card number""]}}]"
333,2021-03-08 13:40:16.598612+00:00,alok,school | school master,15,Vijay bharat pablic school,3,
332,2021-03-08 13:39:48.733570+00:00,alok,auth | user,145,vilaybharat@gmail.com,3,
331,2021-03-08 13:37:21.007528+00:00,alok,auth | user,145,vilaybharat@gmail.com,2,"[{""changed"": {""fields"": [""Last name""]}}]"
330,2021-03-08 13:36:15.396182+00:00,alok,school | owner master,145,vijay singh,1,"[{""added"": {}}]"
329,2021-03-08 13:32:05.556748+00:00,alok,school | school master,15,Vijay bharat pablic school,2,"[{""changed"": {""fields"": [""School code""]}}]"
328,2021-03-08 12:40:32.911172+00:00,alok,school | school_machine_update,6,school_machine_update object (6),2,"[{""changed"": {""fields"": [""School code""]}}]"
327,2021-03-06 14:16:14.493571+00:00,alok,school | school_machine_update,1,school_machine_update object (1),1,"[{""added"": {}}]"
326,2021-03-05 10:49:21.754968+00:00,alok,school | school master,21,M B I School,2,"[{""changed"": {""fields"": [""Principal sign image""]}}]"
325,2021-03-05 10:44:14.698855+00:00,alok,school | school master,21,M B I School,2,"[{""changed"": {""fields"": [""Principal sign image""]}}]"
324,2021-03-05 10:26:24.436833+00:00,alok,school | school master,21,M B I School,2,"[{""changed"": {""fields"": [""Principal sign image"", ""Logo of school""]}}]"
323,2021-03-05 10:22:28.359634+00:00,alok,school | school master,3,Demo Public School Gopalganj,2,"[{""changed"": {""fields"": [""Address""]}}]"
322,2021-03-05 10:19:50.143494+00:00,alok,school | school master,3,Demo Public School Gopalganj,2,"[{""changed"": {""fields"": [""Principal sign image""]}}]"
321,2021-03-05 10:17:59.953391+00:00,alok,school | school master,3,Demo Public School Gopalganj,2,"[{""changed"": {""fields"": [""Principal sign image""]}}]"
320,2021-03-05 10:15:39.962431+00:00,alok,school | school master,3,Demo Public School Gopalganj,2,[]
319,2021-03-05 10:02:18.709038+00:00,alok,school | school master,3,Demo Public School Gopalganj,2,"[{""changed"": {""fields"": [""Principal sign image""]}}]"
318,2021-03-05 10:01:48.601904+00:00,alok,school | school master,3,Demo Public School Gopalganj,2,"[{""changed"": {""fields"": [""Principal sign image""]}}]"
317,2021-03-05 09:58:48.550154+00:00,alok,school | school master,25,SBSY INDIA PVT.LTD,2,"[{""changed"": {""fields"": [""Principal sign image""]}}]"
316,2021-03-05 09:58:23.551783+00:00,alok,school | school master,25,SBSY INDIA PVT.LTD,2,"[{""changed"": {""fields"": [""Principal sign image""]}}]"
315,2021-03-05 09:19:10.778932+00:00,alok,school | school master,3,Demo Public School Gopalganj,2,"[{""changed"": {""fields"": [""Image"", ""Principal sign image"", ""Logo of school""]}}]"
314,2021-03-05 09:18:03.373154+00:00,alok,school | school master,25,SBSY INDIA PVT.LTD,2,"[{""changed"": {""fields"": [""Image""]}}]"
313,2021-03-05 09:13:10.034388+00:00,alok,school | school master,25,SBSY INDIA PVT.LTD,2,"[{""changed"": {""fields"": [""Logo of school""]}}]"
312,2021-03-05 09:11:20.885885+00:00,alok,school | school master,25,SBSY INDIA PVT.LTD,2,"[{""changed"": {""fields"": [""Logo of school""]}}]"
311,2021-03-05 09:03:41.199301+00:00,alok,school | school master,25,SBSY INDIA PVT.LTD,2,"[{""changed"": {""fields"": [""Principal sign image""]}}]"
310,2021-03-05 09:00:25.631979+00:00,alok,school | owner master,288,meghraj sharma,2,"[{""changed"": {""fields"": [""Owner address"", ""Owner city"", ""Owner pincode""]}}]"
309,2021-03-05 08:59:23.354864+00:00,alok,school | school master,25,SBSY INDIA PVT.LTD,2,"[{""changed"": {""fields"": [""Address""]}}]"
308,2021-03-05 08:41:48.473750+00:00,alok,school | school master,25,SBSY INDIA PVT.LTD,2,"[{""changed"": {""fields"": [""Registration number""]}}]"
307,2021-03-03 11:35:10.075912+00:00,alok,school | school master,13,R. S. Memorial Public School,2,"[{""changed"": {""fields"": [""Address"", ""City"", ""Pincode""]}}]"
306,2021-03-03 10:33:13.906348+00:00,alok,school | school master,13,R. S. Memorial Public School,2,"[{""changed"": {""fields"": [""Principal sign image""]}}]"
305,2021-03-02 12:58:43.708221+00:00,alok,school | owner master,135,Vijay,2,"[{""changed"": {""fields"": [""Owner school code""]}}]"
304,2021-03-02 00:39:42.513469+00:00,alok,school | owner master,51,Satyaveer shandilya,2,"[{""changed"": {""fields"": [""Owner school code""]}}]"
303,2021-02-28 08:20:08.265684+00:00,alok,school | school master,22,Siddharth Public School,2,"[{""changed"": {""fields"": [""Affiliated by""]}}]"
302,2021-02-26 13:10:23.929188+00:00,alok,auth | user,280,ram@gmail.com,2,"[{""changed"": {""fields"": [""Email address""]}}]"
301,2021-02-26 13:08:40.452992+00:00,alok,auth | user,280,ram@gmail.com,2,"[{""changed"": {""fields"": [""Last name""]}}]"
300,2021-02-26 13:03:54.691615+00:00,alok,school | class master,18,ClassMaster object (18),3,
299,2021-02-26 12:43:05.578830+00:00,alok,auth | user,281,rasm@gmail.com,3,
298,2021-02-26 12:39:39.557586+00:00,alok,school | school master,24,s.k School,2,"[{""changed"": {""fields"": [""Email""]}}]"
297,2021-02-26 12:39:19.626578+00:00,alok,school | school master,23,s.k School,3,
296,2021-02-25 17:35:09.564424+00:00,alok,school | student master,279,Gunjan kumari ,2,"[{""changed"": {""fields"": [""Division name""]}}]"
295,2021-02-25 17:28:50.465614+00:00,alok,school | school master,3,Demo Public School Gopalganj,2,"[{""changed"": {""fields"": [""Principal sign image""]}}]"
294,2021-02-25 17:25:28.507927+00:00,alok,auth | user,2,nilmani085@gmail.com,2,"[{""changed"": {""fields"": [""First name""]}}]"
293,2021-02-25 17:23:00.668407+00:00,alok,school | school master,3,Demo Public School Gopalganj,2,"[{""changed"": {""fields"": [""Registration number"", ""Affiliated by""]}}]"
292,2021-02-25 16:51:03.246526+00:00,alok,school | school master,13,R. S. Memorial Public School,2,"[{""changed"": {""fields"": [""Principal sign image""]}}]"
291,2021-02-25 14:19:30.423439+00:00,alok,auth | user,51,Satyaveershandilya@gmail.com,2,"[{""changed"": {""fields"": [""First name""]}}]"
290,2021-02-25 10:50:34.987878+00:00,alok,school | student master,279,Gunjan kumari ,2,"[{""changed"": {""fields"": [""Admission no""]}}]"
289,2021-02-25 10:49:30.314225+00:00,alok,school | student master,279,Gunjan kumari ,2,"[{""changed"": {""fields"": [""Division name""]}}]"
288,2021-02-25 10:47:25.296163+00:00,alok,auth | user,2,nilmani085@gmail.com,2,"[{""changed"": {""fields"": [""First name""]}}]"
287,2021-02-25 10:30:24.561504+00:00,alok,auth | user,2,nilmani085@gmail.com,2,"[{""changed"": {""fields"": [""First name""]}}]"
286,2021-02-25 10:09:36.470752+00:00,alok,auth | user,2,nilmani085@gmail.com,2,"[{""changed"": {""fields"": [""First name""]}}]"
285,2021-02-24 12:14:59.959414+00:00,alok,school | staff master,268,Sonya,2,"[{""changed"": {""fields"": [""Staff card number""]}}]"
284,2021-02-24 12:13:45.723253+00:00,alok,school | staff master,269,Deepak,2,[]
283,2021-02-24 12:13:43.256675+00:00,alok,school | staff master,269,Deepak,2,"[{""changed"": {""fields"": [""Staff card number""]}}]"
282,2021-02-24 12:12:49.745610+00:00,alok,school | staff master,270,Chintu Kaushik,2,"[{""changed"": {""fields"": [""Staff card number""]}}]"
281,2021-02-24 12:11:55.712918+00:00,alok,school | staff master,271,Raj,2,"[{""changed"": {""fields"": [""Staff card number""]}}]"
280,2021-02-24 12:10:55.410888+00:00,alok,school | staff master,272,Vipul,2,"[{""changed"": {""fields"": [""Staff card number""]}}]"
279,2021-02-24 12:10:07.204191+00:00,alok,school | staff master,273,Abisake,2,"[{""changed"": {""fields"": [""Staff First name"", ""Staff card number""]}}]"
278,2021-02-24 12:08:35.554039+00:00,alok,school | staff master,274,Pawan,2,"[{""changed"": {""fields"": [""Staff card number""]}}]"
277,2021-02-24 12:07:21.781856+00:00,alok,school | staff master,275,Kajal,2,"[{""changed"": {""fields"": [""Staff card number""]}}]"
276,2021-02-24 12:06:05.758420+00:00,alok,school | staff master,278,Abijit,2,"[{""changed"": {""fields"": [""Staff card number""]}}]"
275,2021-02-24 12:03:08.989029+00:00,alok,school | staff master,276,Rozi,2,"[{""changed"": {""fields"": [""Staff card number""]}}]"
274,2021-02-24 12:01:42.400405+00:00,alok,school | staff master,277,Nitin,2,"[{""changed"": {""fields"": [""Staff card number""]}}]"
273,2021-02-24 11:45:00.544403+00:00,alok,school | school master,14,Vijay demo public school,2,"[{""changed"": {""fields"": [""School name""]}}]"
272,2021-02-24 09:28:41.401831+00:00,alok,school | student master,265,Ramesh ,2,"[{""changed"": {""fields"": [""Student card number""]}}]"
271,2021-02-24 09:28:22.639686+00:00,alok,school | student master,267,Ram ,2,"[{""changed"": {""fields"": [""Student card number""]}}]"
270,2021-02-23 11:38:53.319058+00:00,alok,school | posts,6,okkkk,1,"[{""added"": {}}]"
269,2021-02-23 11:38:25.579710+00:00,alok,school | posts,5,,3,
268,2021-02-23 11:38:10.711458+00:00,alok,school | posts,4,,3,
267,2021-02-23 11:37:38.150467+00:00,alok,school | posts,5,,1,"[{""added"": {}}]"
266,2021-02-23 11:37:37.422860+00:00,alok,school | posts,4,,1,"[{""added"": {}}]"
265,2021-02-23 11:35:08.368186+00:00,alok,school | posts,3,one more post,1,"[{""added"": {}}]"
264,2021-02-23 11:25:55.249524+00:00,alok,school | posts,2,new,1,"[{""added"": {}}]"
263,2021-02-23 11:15:52.350686+00:00,alok,school | posts,1,hello,1,"[{""added"": {}}]"
262,2021-02-19 15:50:43.649863+00:00,alok,school | staff master,246,jatin kumar,2,"[{""changed"": {""fields"": [""Staff medium name""]}}]"
261,2021-02-19 15:46:06.689518+00:00,alok,school | staff master,245,manish kumar,2,"[{""changed"": {""fields"": [""Staff medium name""]}}]"
260,2021-02-19 15:29:36.995952+00:00,alok,school | staff master,56,Satyaveer Sharma,2,[]
259,2021-02-19 14:48:02.492014+00:00,alok,auth | user,117,ravikumar@gmail.com,3,
258,2021-02-19 14:48:02.348664+00:00,alok,auth | user,241,ravi09009@gmail.com,3,
257,2021-02-19 14:48:02.345620+00:00,alok,auth | user,242,ravi0900879@gmail.com,3,
256,2021-02-19 14:48:02.343294+00:00,alok,auth | user,240,ravi009@gmail.com,3,
255,2021-02-19 13:36:48.003181+00:00,alok,school | staff master,50,mohit tiwari,2,"[{""changed"": {""fields"": [""Staff First name"", ""Staff Last name""]}}]"
254,2021-02-19 13:33:18.143561+00:00,alok,school | staff master,52,Sapna,2,"[{""changed"": {""fields"": [""Staff Last name""]}}]"
253,2021-02-19 13:32:52.430294+00:00,alok,school | staff master,54,Aruna Kumari,2,"[{""changed"": {""fields"": [""Staff First name"", ""Staff Last name""]}}]"
252,2021-02-19 13:32:32.308443+00:00,alok,school | staff master,55,Manju Bala,2,"[{""changed"": {""fields"": [""Staff First name"", ""Staff Last name""]}}]"
251,2021-02-19 13:32:08.747518+00:00,alok,school | staff master,56,Satyaveer Sharma,2,"[{""changed"": {""fields"": [""Staff First name"", ""Staff Last name""]}}]"
250,2021-02-19 13:31:35.503524+00:00,alok,school | staff master,116,Sf T,2,"[{""changed"": {""fields"": [""Staff First name"", ""Staff Last name""]}}]"
249,2021-02-19 13:31:14.609545+00:00,alok,school | staff master,117,Ravi Kumar,2,"[{""changed"": {""fields"": [""Staff First name"", ""Staff Last name""]}}]"
248,2021-02-19 13:30:55.129427+00:00,alok,school | staff master,129,Rajesh kumari,2,"[{""changed"": {""fields"": [""Staff Last name""]}}]"
247,2021-02-19 13:30:33.715209+00:00,alok,school | staff master,130,Hemlata,2,"[{""changed"": {""fields"": [""Staff Last name""]}}]"
246,2021-02-19 13:30:02.662880+00:00,alok,school | staff master,175,Mukesh kumar Singh,2,"[{""changed"": {""fields"": [""Staff First name"", ""Staff Last name""]}}]"
245,2021-02-19 13:29:36.646561+00:00,alok,school | staff master,178,Manoj bhardwaj,2,"[{""changed"": {""fields"": [""Staff First name"", ""Staff Last name""]}}]"
244,2021-02-19 12:06:09.534614+00:00,alok,school | school master,13,R. S. Memorial Public School,2,"[{""changed"": {""fields"": [""School name""]}}]"
243,2021-02-19 07:42:28.778106+00:00,alok,school | school master,22,Siddharth Public School,2,"[{""changed"": {""fields"": [""School name""]}}]"
242,2021-02-18 12:52:03.111725+00:00,alok,school | bike_user,6,bike_user object (6),2,"[{""changed"": {""fields"": [""Rf id1"", ""Rf id2""]}}]"
241,2021-02-18 12:24:49.423783+00:00,alok,school | bike_user,6,bike_user object (6),2,"[{""changed"": {""fields"": [""Rf id1""]}}]"
240,2021-02-18 12:21:27.933771+00:00,alok,school | bike_user,6,bike_user object (6),2,[]
239,2021-02-18 12:21:12.148766+00:00,alok,school | bike_user,6,bike_user object (6),2,"[{""changed"": {""fields"": [""Address"", ""Rf id1"", ""Rf id2""]}}]"
238,2021-02-16 13:58:08.123828+00:00,alok,school | bike_user,1,bike_user object (1),2,"[{""changed"": {""fields"": [""Address"", ""Rf id1"", ""Rf id2""]}}]"
237,2021-02-16 13:27:42.631607+00:00,alok,school | bike_user,2,bike_user object (2),1,"[{""added"": {}}]"
236,2021-02-16 09:51:08.772820+00:00,alok,school | bike_user,1,bike_user object (1),2,"[{""changed"": {""fields"": [""Machine id""]}}]"
235,2021-02-14 13:23:42.116137+00:00,alok,school | bike_user,1,bike_user object (1),2,"[{""changed"": {""fields"": [""Ssid"", ""Password"", ""Rf id1"", ""Rf id2""]}}]"
234,2021-02-14 13:06:27.645906+00:00,alok,school | bike_user,1,bike_user object (1),2,[]
233,2021-02-14 13:06:09.517748+00:00,alok,school | bike_user,1,bike_user object (1),2,"[{""changed"": {""fields"": [""Ssid"", ""Rf id1"", ""Rf id2""]}}]"
232,2021-02-11 12:09:03.668028+00:00,alok,school | owner master,189,Anshu kumar mishara,2,"[{""changed"": {""fields"": [""Owner image""]}}]"
231,2021-02-11 12:07:44.920256+00:00,alok,school | owner master,189,Anshu kumar mishara,2,"[{""changed"": {""fields"": [""Owner image""]}}]"
230,2021-02-11 05:46:21.333255+00:00,alok,auth | user,2,nilmani085@gmail.com,2,"[{""changed"": {""fields"": [""Username""]}}]"
229,2021-02-11 05:42:09.994382+00:00,alok,school | school master,3,Demo Public School Gopalganj,2,"[{""changed"": {""fields"": [""School name"", ""Email""]}}]"
228,2021-02-11 05:35:37.511200+00:00,alok,school | owner master,2,nilmani tiwari,2,"[{""changed"": {""fields"": [""Owner email""]}}]"
227,2021-02-11 04:40:39.887439+00:00,alok,auth | user,169,dubeyravi254@gmail.com,2,[]
